pid,handle,type,title,fair,identifier
umd:293,hdl:1903.1/74,UMD_IMAGE,"Centennial Art Gallery, Philadelphia","Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0217
umd:281,hdl:1903.1/66,UMD_IMAGE,Agriculture Hall,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0213
umd:296,hdl:1903.1/75,UMD_IMAGE,Horticultural Hall,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0218
umd:878,hdl:1903.1/178,UMD_IMAGE,Anaglypta Decoration in Relief,Glasgow International Exhibition (1901),Call Number: 1901-gla-16-0001-001
umd:880,hdl:1903.1/181,UMD_IMAGE,Peacock,Glasgow International Exhibition (1901),Call Number: 1901-gla-16-0001-002
umd:890,hdl:1903.1/216,UMD_IMAGE,British Applied Arts Palace,"Franco-British Exhibition (1908 : London, England)",Call Number: 1908-lon-08-0001
umd:882,hdl:1903.1/177,UMD_IMAGE,Block Plan,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-16-0003
umd:886,hdl:1903.1/221,UMD_IMAGE,Marina Building,Exposition internationale de Milan (1906),Call Number: 1906-mil-20-0004
umd:351,hdl:1903.1/102,UMD_IMAGE,Horticultural Hall,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0238
umd:342,hdl:1903.1/99,UMD_IMAGE,"Independence Hall, 1st U.S. Congress","Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0235
umd:357,hdl:1903.1/100,UMD_IMAGE,Art Gallery,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0240
umd:366,hdl:1903.1/12,UMD_IMAGE,Bird's-Eye View,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0243
umd:681785,hdl:1903.1/32375,UMD_IMAGE,"National Trust Library collection/ World's Fair Ephemeral and Graphic Materials Collection/ Edison's Electric Pen and Duplicating Press - Picure, 1876: Series 3: New York Exhibition of the Industry of All Nations (New York City, New York)/ Photographs",New York Exhibition of the Industry of All Nations (1853-1854),1000-msc-20-0008
umd:681781,hdl:1903.1/32373,UMD_IMAGE,"National Trust Library collection/ World's Fair Ephemeral and Graphic Materials Collection/ Edison's Electric Pen and Duplicating Press - Picture, 1876","Centennial Exhibition (1876 : Philadelphia, Pa.)",1876-phi-08-0352
umd:872,hdl:1903.1/223,UMD_IMAGE,"Fountain of Abundance (section, elevation)","Pan-American Exposition (1901 : Buffalo, N.Y.)",Call Number: 1901-buf-10-0001
umd:681778,hdl:1903.1/32372,UMD_IMAGE,"National Trust Library Collection/ World's Fair Ephemeral and Graphic Materials Collection/ Edison's Electric Pen and Duplicating Press - Letter, 1876","Centennial Exhibition (1876 : Philadelphia, Pa.)",1876-phi-08-0351
umd:688,hdl:1903.1/209,UMD_IMAGE,New York State Bldg.,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-26-0011
umd:87,hdl:1903.1/224,UMD_IMAGE,"E. Clinton & Co., brush makers","Centennial Exhibition (1876 : Philadelphia, Pa.)",Call Number: 1876-phi-08-0048
umd:866,hdl:1903.1/179,UMD_IMAGE,Maps of the Grounds,"Exposition universelle internationale de 1900 (Paris, France)",Call Number: 1900-par-16-0001
umd:862,hdl:1903.1/187,UMD_IMAGE,Exposition Universelle 1900,"Exposition universelle internationale de 1900 (Paris, France)",Call Number: 1900-par-08-0032
umd:870,hdl:1903.1/191,UMD_IMAGE,"Latest Revised Map, engraved for the Pan-American Up to Date Time Saver.","Pan-American Exposition (1901 : Buffalo, N.Y.)",Call Number: 1901-buf-08-0001
umd:999,hdl:1903.1/313,UMD_TEI,Manufactures Building,"World's Columbian Exposition (1893 : Chicago, Ill.)",21Chicago.xml
umd:995,hdl:1903.1/307,UMD_TEI,The Monaco Building of the Paris 1889 Exposition,"Exposition universelle de 1889 (Paris, France)",16Paris.xml
umd:996,hdl:1903.1/294,UMD_TEI,Chicago 1893,"World's Columbian Exposition (1893 : Chicago, Ill.)",18Chicago.xml
umd:1013,hdl:1903.1/34,UMD_TEI,"1883 Colonial Exposition, Amsterdam","Internationale Koloniale en Uitvoerhandel Tentoonstelling (1883 : Amsterdam, Netherlands)",37Amsterdam.xml
umd:960,hdl:1903.1/333,UMD_IMAGE,U.S. Steel Building,New York World's Fair (1939-1940),Call Number: 1939-nyc-16-0001-004
umd:970,hdl:1903.1/278,UMD_IMAGE,Construction of the Philips Building,"Exposition universelle et internationale (1958 : Brussels, Belgium)",Call Number: 1958-bru-16-0002-001
umd:964,hdl:1903.1/280,UMD_IMAGE,Temples of the East,"Golden Gate International Exposition (1939-1940 : San Francisco, Calif.)",Call Number: 1939-sfr-08-0006
umd:966,hdl:1903.1/271,UMD_IMAGE,Aerial View,"Golden Gate International Exposition (1939-1940 : San Francisco, Calif.)",Call Number: 1939-sfr-08-0014
umd:976,hdl:1903.1/348,UMD_IMAGE,Montreal Central,"Expo 67 (Montréal, Québec)",Call Number: 1967-mon-08-0001
umd:604,hdl:1903.1/230,UMD_IMAGE,"Festival Hall, Louisiana Purchase Exposition, St. Louis, Mo.","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-10-0009
umd:637,hdl:1903.1/200,UMD_IMAGE,"Liberal Arts Building, U.S. Government Building, Mines and Metallurgy Building, Louisiana Purchase Exposition, St. Louis, Mo.","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-10-0016b
umd:598,hdl:1903.1/231,UMD_IMAGE,"Palace of Electricity and Palace of Varied Industries, Louisiana Purchase Exposition, St. Louis, Mo.","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-10-0008a
umd:634,hdl:1903.1/196,UMD_IMAGE,"Administration Building (Washington University), Louisiana Purchase Exposition, St. Louis, Mo.","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-10-0016a
umd:601,hdl:1903.1/229,UMD_IMAGE,"Palace of Electricity, Louisiana Purchase Exposition, St. Louis, Mo.","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Call Number: 1904-stl-10-0008b
